Item,Price Point Name,Category,SKU,Items Sold,Item Sales,Discounts,Refund Count,Refunds,Net Sales
16oz Coke,"",None,"",3.0,$3.00,$0.00,0.0,$0.00,$3.00
16oz Diet Pepsi,"",None,"",1.0,$1.00,$0.00,0.0,$0.00,$1.00
16oz Nestea Lemon,"",None,"",1.0,$1.00,$0.00,0.0,$0.00,$1.00
16oz Pepsi,"",None,"",2.0,$2.00,$0.00,0.0,$0.00,$2.00
24oz Dew,"",None,"",5.0,$7.50,$0.00,0.0,$0.00,$7.50
24oz Dr Pepper,"",None,"",2.0,$3.00,$0.00,0.0,$0.00,$3.00
24oz Pepsi,"",None,"",1.0,$1.50,$0.00,0.0,$0.00,$1.50
2ltr Diet Rootbeer,"",None,"",2.0,$5.00,$0.00,0.0,$0.00,$5.00
2ltr Dr pepper,"",None,"",1.0,$2.50,$0.00,0.0,$0.00,$2.50
Camel Crush,"",None,"",4.0,$22.00,$0.00,0.0,$0.00,$22.00
Cash back,"",None,"",2.0,$60.00,$0.00,0.0,$0.00,$60.00
Eggs,"",None,"",1.0,$2.50,$0.00,0.0,$0.00,$2.50
Frapicchino: Van,"",None,"",1.0,$2.00,$0.00,0.0,$0.00,$2.00
L&M Menthol 100's,"",None,"",7.0,$28.00,$0.00,0.0,$0.00,$28.00
L&M Red,"",None,"",2.0,$8.00,$0.00,0.0,$0.00,$8.00
Lighters,"",None,"",1.0,$1.75,$0.00,0.0,$0.00,$1.75
Marlboro Black Red 100's,"",None,"",1.0,$4.50,$0.00,0.0,$0.00,$4.50
Marlboro Lights,"",None,"",2.0,$11.00,$0.00,0.0,$0.00,$11.00
Maverick Menthol 100's,"",None,"",1.0,$4.00,$0.00,0.0,$0.00,$4.00
Milk:1gal Whole,"",None,"",1.0,$3.25,$0.00,0.0,$0.00,$3.25
Pall Mall Menthol,"",None,"",1.0,$4.00,$0.00,0.0,$0.00,$4.00
Pall Mall Red 100,"",None,"",5.0,$20.00,$0.00,0.0,$0.00,$20.00
Pringles Lrg,"",None,"",1.0,$2.50,$0.00,0.0,$0.00,$2.50
Skittles,"",None,"",2.0,$2.00,$0.00,0.0,$0.00,$2.00
Snack Pack,"",None,"",1.0,$0.75,$0.00,0.0,$0.00,$0.75
Zig Zag Wraps,"",None,"",1.0,$1.25,$0.00,0.0,$0.00,$1.25
